time	from	to
3653	64	68
3653	72	104
3653	64	0
3654	64	0
3654	64	96
3654	64	96
3654	72	64
3655	72	104
3655	72	76
3656	72	8
3657	72	76
3657	64	0
3657	64	0
3657	64	0
3657	64	0
3658	64	0
3658	72	104
3658	64	0
3658	72	8
3658	64	0
3658	72	8
3659	64	68
3659	64	0
3659	72	104
3659	64	68
3659	104	108
3659	0	32
3660	64	0
3660	64	80
3660	72	64
3660	64	80
3661	72	8
3661	64	80
3661	64	68
3661	72	8
3661	72	64
3662	64	0
3662	72	76
3662	72	76
3662	64	96
3662	64	0
3663	64	0
3663	64	68
3663	64	68
3663	72	76
3663	8	0
3663	64	80
3664	72	76
3664	72	76
3664	72	88
3664	72	104
3665	68	4
3666	64	0
3666	72	8
3666	64	68
3666	72	76
3666	72	64
3667	64	0
3667	64	68
3667	64	68
3667	64	0
3668	64	0
3668	64	0
3668	72	88
3668	72	8
3669	72	88
3669	64	0
3669	64	96
3670	72	8
3670	72	76
3670	64	0
3670	64	96
3671	64	68
3671	64	0
3672	64	0
3672	64	68
3672	0	16
3672	64	0
3672	64	0
3672	64	0
3672	76	92
3672	64	0
3672	64	0
3673	64	96
3673	64	80
3674	72	64
3674	72	104
3675	64	0
3676	72	88
3676	64	96
3676	64	0
3676	72	76
3676	64	96
3676	72	88
3676	92	28
3677	64	96
3677	72	76
3677	64	80
3677	72	8
3678	72	76
3678	64	68
3678	72	76
3678	64	0
3678	64	80
3679	96	32
3679	96	32
3679	72	8
3679	64	80
3680	72	8
3680	72	76
3680	72	88
3680	72	8
3681	64	68
3681	64	68
3681	72	76
3681	64	68
3681	72	76
3681	72	76
3681	72	64
3681	64	68
3681	72	8
3682	64	96
3682	72	8
3682	64	0
3682	72	88
3682	64	80
3682	0	16
3683	64	80
3683	64	80
3683	72	104
3683	64	96
3683	64	68
3683	64	0
3684	72	8
3684	64	0
3684	72	64
3684	64	68
3684	64	80
3684	80	16
3685	68	100
3685	64	0
3686	64	68
3686	64	0
3686	64	0
3686	64	80
3686	64	68
3686	64	80
3687	72	104
3687	96	32
3687	72	104
3687	64	96
3687	72	104
3687	72	8
3687	64	80
3687	72	76
3687	8	24
3688	72	8
3688	72	104
3689	64	80
3690	64	0
3690	72	104
3690	72	8
3690	64	68
3691	64	96
3691	72	104
3691	72	8
3691	64	0
3691	64	80
3692	72	104
3692	64	0
3692	72	64
3692	64	68
3692	72	76
3692	64	0
3692	64	80
3692	0	16
3692	64	96
3693	64	80
3693	72	76
3693	64	68
3694	72	76
3694	64	0
3694	0	16
3694	72	104
3694	64	0
3695	64	68
3695	64	68
3695	64	0
3695	64	0
3695	64	68
3695	64	0
3695	72	8
3695	64	0
3696	64	0
3696	72	76
3696	72	88
3696	72	104
3697	0	32
3697	72	76
3697	72	8
3698	64	68
3698	64	96
3698	64	96
3698	68	84
3698	64	0
3698	64	96
3698	64	0
3699	64	96
3699	64	0
3699	72	8
3699	64	80
3700	104	40
3700	72	76
3700	64	0
3700	72	88
3700	72	8
3700	64	0
3700	64	80
3701	72	64
3701	64	80
3701	64	0
3701	64	0
3701	72	8
3702	72	104
3703	64	68
3703	64	80
3703	64	0
3704	64	0
3704	72	76
3704	64	68
3704	64	68
3704	72	8
3705	64	0
3705	72	104
3705	64	0
3705	72	64
3705	96	32
3705	64	0
3706	72	88
3706	72	8
3706	64	68
3706	64	0
3707	64	80
3707	72	8
3707	64	68
3707	64	80
3708	64	0
3708	72	8
3708	64	0
3708	64	96
3708	64	0
3708	72	8
3709	64	80
3709	64	96
3709	0	32
3710	72	8
3710	64	0
3710	72	76
3710	72	76
3710	64	96
3711	64	68
3711	72	76
3712	64	68
3712	64	96
3712	64	96
3712	72	76
3712	68	100
3713	72	104
3713	64	68
3713	0	16
3714	8	0
3714	64	68
3714	64	0
3714	64	68
3714	72	8
3715	64	0
3715	64	0
3715	80	112
3716	64	80
3716	64	80
3716	64	80
3716	64	0
3716	64	0
3716	64	96
3717	72	88
3717	68	100
3717	64	80
3718	64	80
3718	72	8
3718	8	0
3719	64	0
3719	64	0
3720	72	8
3720	64	68
3720	64	0
3720	64	0
3721	72	104
3721	72	76
3721	72	76
3721	72	64
3722	72	76
3722	64	0
3722	64	0
3722	64	96
3723	64	68
3723	72	88
3724	80	16
3724	104	40
3724	64	96
3724	64	68
3724	64	0
3725	64	68
3725	68	4
3725	72	104
3726	64	96
3726	72	8
3726	72	8
3726	76	92
3726	64	0
3727	64	68
3727	68	4
3728	72	8
3728	72	8
3729	8	40
3729	72	88
3730	64	0
3730	72	76
3730	72	8
3730	72	8
3731	72	76
3731	72	104
3731	8	40
3732	0	4
3732	4	20
3732	64	0
3732	64	0
3732	64	96
3732	64	96
3733	64	80
3733	64	0
3733	64	68
3733	80	84
3733	64	0
3733	64	96
3733	64	80
3734	72	8
3734	0	32
3735	64	68
3735	72	88
3735	64	80
3736	64	96
3736	72	8
3736	64	68
3736	64	0
3736	64	96
3737	64	96
3737	64	68
3737	64	68
3737	72	64
3737	64	0
3737	96	32
3738	72	88
3738	72	76
3738	72	8
3738	64	0
3738	64	0
3739	64	0
3739	64	68
3739	64	68
3740	64	96
3740	64	68
3740	72	8
3740	72	76
3741	64	68
3741	68	4
3742	64	68
3742	64	80
3742	64	68
3742	72	76
3743	64	68
3743	72	76
3743	76	108
3743	64	96
3743	72	64
3743	80	16
3743	64	80
3744	72	8
3744	72	64
3744	64	68
3744	72	8
3745	64	68
3745	72	76
3745	72	8
3746	64	68
3746	64	80
3746	64	96
3746	72	76
3746	72	76
3746	72	8
3747	72	76
3747	64	0
3747	64	68
3747	64	0
3748	64	68
3749	64	0
3749	64	96
3749	64	68
3749	72	8
3749	64	68
3749	68	4
3750	72	76
3750	64	68
3750	64	0
3750	64	0
3751	64	68
3751	64	68
3752	64	68
3752	72	76
3752	72	76
3753	72	8
3753	68	84
3753	64	80
3754	64	68
3754	68	4
3754	64	0
3754	64	0
3755	64	68
3755	64	0
3756	64	80
3756	72	76
3756	72	88
3756	72	76
3756	64	0
3756	72	8
3756	72	104
3756	0	32
3757	72	88
3757	72	76
3758	64	68
3758	72	104
3758	8	0
3759	68	4
3759	72	8
3759	72	88
3759	64	96
3759	0	16
3760	64	68
3760	64	0
3760	72	8
3761	88	24
3761	104	40
3761	72	76
3761	64	0
3761	64	0
3762	72	88
3762	76	12
3762	72	8
3762	8	0
3763	68	4
3763	72	88
3763	64	0
3763	64	68
3763	64	0
3763	64	0
3764	64	80
3764	64	0
3765	80	16
3766	64	68
3766	64	68
3766	72	76
3766	64	0
3768	68	4
3768	72	64
3768	64	80
3769	104	40
3769	64	80
3769	72	88
3769	64	96
3770	64	80
3771	64	80
3771	64	0
3771	72	76
3771	64	0
3771	80	16
3773	64	0
3773	72	76
3773	76	92
3773	72	76
3773	64	96
3773	72	76
3774	64	68
3775	64	0
3775	64	68
3775	64	0
3775	64	96
3775	72	76
3775	64	96
3775	64	96
3776	72	64
3777	88	24
3778	64	96
3778	96	32
3779	64	96
3779	64	0
3779	72	8
3779	72	8
3779	72	76
3779	96	32
3780	64	0
3780	72	88
3781	72	76
3781	72	8
3781	64	96
3782	64	96
3782	64	0
3783	64	80
3784	72	76
3784	64	80
3784	64	68
3785	64	0
3786	64	68
3786	64	96
3786	64	0
3786	64	0
3787	64	68
3787	64	68
3787	72	104
3787	64	96
3788	72	8
3788	64	0
3788	72	76
3788	96	32
3789	64	68
3789	64	68
3789	64	96
3790	72	8
3791	64	0
3792	64	68
3792	72	8
3793	72	64
3793	72	64
3793	64	80
3794	64	0
3794	64	68
3794	64	96
3795	72	76
3795	64	68
3795	76	12
3795	64	0
3796	64	68
3796	72	76
3796	64	0
3796	64	96
3796	72	8
3796	64	96
3796	68	4
3797	72	76
3797	64	0
3797	72	104
3797	68	84
3797	68	4
3798	64	68
3798	68	4
3799	64	0
3799	64	0
3799	64	0
3800	72	8
3800	64	80
3800	72	8
3801	80	112
3801	84	116
3801	64	96
3802	64	0
3803	64	0
3804	64	0
3805	64	96
3805	72	76
3806	64	0
3806	0	16
3807	72	8
3807	64	96
3807	72	64
3807	64	0
3807	72	8
3807	72	8
3808	72	104
3809	72	8
3809	72	76
3809	72	8
3809	64	96
3809	64	96
3810	64	96
3810	72	64
3810	72	8
3811	72	76
3812	72	76
3812	64	96
3812	76	12
3812	72	104
3812	64	96
3813	64	68
3813	64	96
3813	64	0
3814	72	8
3814	72	88
3815	64	0
3815	64	96
3815	72	64
3816	72	8
3816	72	64
3816	72	76
3816	64	0
3816	72	104
3818	72	104
3818	64	80
3818	64	96
3818	72	8
3818	64	0
3819	64	80
3819	72	64
3820	64	96
3820	64	0
3821	64	0
3822	72	104
3823	64	0
3823	72	8
3824	72	76
3824	64	0
3825	64	0
3825	64	0
3825	64	68
3826	64	96
3826	72	8
3826	96	100
3827	72	76
3827	64	96
3827	64	80
3828	72	104
3829	64	80
3829	72	8
3829	72	8
3829	64	0
3829	72	8
3830	64	0
3830	8	24
3830	72	8
3831	64	68
3831	72	88
3832	72	76
3832	72	76
3832	72	8
3832	64	0
3832	72	76
3833	64	80
3833	72	76
3833	64	0
3833	72	8
3833	72	76
3833	64	0
3833	64	0
3834	64	96
3834	96	32
3835	64	0
3835	76	108
3836	64	0
3837	72	76
